714
223	93	5
145	62	2
77	49	3
51	60	5
257	64	6
190	124	6
49	38	3
265	74	5
105	28	1
81	50	1
269	113	3
83	15	1
95	84	1
38	9	1
385	72	3
315	1	0
6	24	1
84	5	1
64	185	5
359	45	5
71	62	2
91	15	1
14	5	1
75	20	1
4	6	1
95	14	1
81	63	1
12	34	1
4	74	3
173	78	5
102	103	1
185	48	3
91	74	3
333	1	0
33	20	1
22	1	0
324	60	2
121	3	1
75	12	1
366	78	3
15	8	1
52	268	3
103	154	1
305	28	5
20	137	1
33	137	1
401	1	0
334	3	3
39	40	5
12	74	1
128	129	5
127	24	1
29	89	1
84	74	3
135	80	1
113	137	1
89	104	1
81	96	1
209	147	1
383	1	0
109	95	1
33	163	3
222	32	3
50	96	1
86	93	3
201	1	0
113	12	1
381	1	0
21	113	5
55	56	5
17	60	5
72	131	3
7	96	1
83	95	1
90	50	1
6	96	1
43	181	3
7	23	1
251	1	0
75	121	1
215	75	5
6	8	1
4	81	1
90	8	1
317	238	3
227	12	3
113	3	1
364	1	0
84	8	1
138	33	5
13	74	1
33	2	1
137	121	1
225	75	5
63	74	3
335	75	5
38	74	1
48	185	1
84	90	1
143	106	4
66	38	5
75	137	1
258	9	3
65	154	1
140	9	5
56	121	1
52	365	3
320	49	2
86	389	3
112	113	2
245	72	3
14	24	1
190	52	5
272	1	0
14	96	1
83	84	1
28	106	1
219	93	2
236	1	0
55	11	2
239	137	3
109	84	1
90	23	1
117	24	1
197	1	0
154	28	3
38	34	1
159	160	6
109	117	1
177	178	3
52	202	4
157	169	5
117	96	1
93	181	3
95	90	1
83	50	1
50	24	1
33	121	1
9	34	1
274	78	2
33	181	3
322	166	2
94	1	0
113	9	1
43	340	3
124	43	5
136	60	2
131	38	3
12	3	1
117	90	1
135	104	1
386	1	0
113	38	1
354	67	1
95	24	1
225	11	2
124	52	2
30	81	3
152	12	2
249	313	1
264	294	5
63	96	1
309	1	0
83	5	1
89	81	3
50	74	3
8	74	3
2	3	1
302	56	3
335	11	2
148	1	0
118	93	5
95	117	1
5	24	1
29	104	1
140	38	2
95	15	1
274	204	6
95	8	1
299	3	3
186	13	3
363	43	3
23	96	1
100	9	1
387	1	0
66	62	2
81	84	1
132	1	0
100	121	1
88	43	3
7	50	1
38	100	1
23	91	1
99	276	2
117	5	1
342	86	3
100	34	1
45	281	1
384	1	0
2	34	1
238	307	3
279	1	0
127	5	1
260	1	0
72	73	4
287	1	0
85	1	0
4	127	1
285	1	0
331	1	0
19	20	2
239	147	1
7	90	1
219	220	6
68	1	0
103	182	1
192	193	1
18	339	4
29	67	1
76	77	1
109	15	1
4	117	1
70	1	0
117	6	1
135	30	1
253	254	3
275	1	0
90	96	1
109	6	1
33	28	1
113	33	1
134	1	0
189	11	2
312	229	3
4	50	1
151	1	0
6	50	1
212	32	5
109	24	1
235	78	5
38	49	3
167	168	3
82	1	0
135	67	1
313	13	3
6	14	1
10	11	2
322	105	5
109	96	1
83	63	1
6	84	1
280	113	3
44	45	4
65	28	3
152	173	6
117	23	1
12	121	1
80	104	1
373	1	0
17	18	2
5	15	1
244	86	2
127	50	1
127	6	1
149	1	0
136	51	6
42	43	3
212	213	2
45	54	1
6	90	1
9	3	1
237	238	3
81	74	3
100	75	1
29	81	3
57	11	2
244	213	5
31	32	5
394	1	0
75	34	1
170	205	6
127	23	1
20	34	1
393	1	0
337	108	2
81	24	1
113	75	1
368	1	0
200	18	3
114	86	5
216	217	2
109	5	1
257	185	2
105	227	1
84	96	1
172	62	2
223	224	2
92	118	6
209	300	1
6	91	1
100	74	1
53	1	0
95	6	1
206	72	3
7	83	1
232	1	0
4	5	1
290	291	4
23	15	1
207	17	6
31	93	2
33	74	1
63	15	1
117	84	1
5	8	1
90	24	1
101	1	0
20	3	1
109	90	1
20	74	1
146	78	5
9	2	1
61	33	5
338	1	0
117	91	1
50	23	1
33	13	1
104	81	3
7	5	1
